Datetime,Time interval [hh:mm],Day of Week,Month,B1 Total port Tput [Mbps],B1 UE DlLatency [ms],B1 BBU1 AVG Power consumption [W],B2 Total port Tput [Mbps],B2 UE DlLatency [ms],B2 BBU2 AVG Power consumption [W],B3 Total port Tput [Mbps],B3 UE DlLatency [ms],B3 BBU3 AVG Power consumption [W],D1 Total port Tput [Mbps],D1 UE DlLatency [ms],D1 BBU1 AVG Power consumption [W],D2 Total port Tput [Mbps],D2 UE DlLatency [ms],D2 BBU2 AVG Power consumption [W],D3 Total port Tput [Mbps],D3 UE DlLatency [ms],D3 BBU3 AVG Power consumption [W],G1 Total port Tput [Mbps],G1 UE DlLatency [ms],G1 BBU1 AVG Power consumption [W],G2 Total port Tput [Mbps],G2 UE DlLatency [ms],G2 BBU2 AVG Power consumption [W],G3 Total port Tput [Mbps],G3 UE DlLatency [ms],G3 BBU3 AVG Power consumption [W]
6/9/2024 0:00,0:00:00,Sunday,6,14.718,4.5,137.8,28.077,8.4,115.6,30.693,8.6,119.1,46.851,5.6,137.3,20.324,5.2,133,38.806,6,113.1,12.777,8,139.9,75.765,5.7,132.8,38.536,5.5,115.9
6/9/2024 0:15,0:15:00,Sunday,6,9.095,6.8,137.8,26.43,8.4,115.4,21.621,6.8,119.2,38.763,6.2,136.7,21.484,5.7,132.5,28.321,5.9,112.2,15.292,6.4,139.5,74.898,5.7,132.7,33.87,5.7,115.8
6/9/2024 0:30,0:30:00,Sunday,6,8.958,6.6,137.6,23.872,8.7,115.2,32.661,8.2,119.2,34.763,6,136.7,16.723,6.2,132.3,30.638,6.6,112.7,16.502,5.5,139.7,81.706,6.4,132.5,34.318,5.9,115.8
6/9/2024 0:45,0:45:00,Sunday,6,11.873,5.3,137.4,26.995,8.2,115.2,30.732,6.3,119.1,33.422,6.4,137.1,17.785,4.7,132.6,38.336,7,112.6,16.846,5.5,139.8,74.758,5.3,132.5,33.591,5.7,115.8
6/9/2024 1:00,1:00:00,Sunday,6,10.183,5.9,137.3,28.72,7.9,115.1,23.963,6.6,118.9,38.965,5.4,136.5,14.875,5,132.1,31.721,5.7,112,15.448,6.3,139.8,69.099,5.7,132.3,27.917,5.5,115.4
6/9/2024 1:15,1:15:00,Sunday,6,11.022,5.7,137.3,34.667,7.5,115.3,30.419,6.6,119.1,28.724,5.7,137.1,11.218,6.7,132.6,15.55,6.4,112.8,19.788,5.6,140.2,82.504,5.6,132.3,23.226,5.1,115.1
6/9/2024 1:30,1:30:00,Sunday,6,11.146,6.4,137.2,47.165,8.1,115.3,25.064,6.2,118.9,23.242,5.7,136.1,5.209,7.5,131.5,23.545,6.8,111.6,13.973,6.6,139.7,60.536,5.6,132.1,16.443,4.9,115
6/9/2024 1:45,1:45:00,Sunday,6,11.664,6.6,137.3,43.447,7.4,115.2,15.058,5.5,118.9,23.209,5.6,136.7,7.655,6.4,132.1,11.642,8.5,112.1,10.308,6.2,139.5,60.464,6.2,132,17.743,5,114.9
6/9/2024 2:00,2:00:00,Sunday,6,9.194,7,137.3,29.126,6.4,115.2,16.622,5.3,118.9,25.559,5.8,137.1,7.625,7.4,132.1,11.282,7.4,111.9,9.058,7.1,139.4,38.334,5.9,131.7,17.162,5.6,114.8
6/9/2024 2:15,2:15:00,Sunday,6,9.407,7.7,137.2,16.536,5.9,115.2,17.6,5.2,119,22.625,5,136.2,4.692,9.1,131.8,13.368,6.9,111.3,8.813,6.2,139.3,36.481,5.8,131.5,12.697,5.7,114.4
